16:01:22 [KPLIB] [STATS] HC2 - FPS: 37.04 - Local groups: 0 - Local units: 0 - Active Scripts: [spawn: 3, execVM: 5, exec: 0, execFSM: 0]
16:06:23 [KPLIB] [STATS] HC2 - FPS: 32 - Local groups: 5 - Local units: 20 - Active Scripts: [spawn: 3, execVM: 6, exec: 0, execFSM: 1]
16:11:22 [KPLIB] [STATS] HC2 - FPS: 46.51 - Local groups: 5 - Local units: 20 - Active Scripts: [spawn: 3, execVM: 6, exec: 0, execFSM: 1]
16:16:22 [KPLIB] [STATS] HC2 - FPS: 46.38 - Local groups: 5 - Local units: 20 - Active Scripts: [spawn: 3, execVM: 6, exec: 0, execFSM: 1]
16:21:22 [KPLIB] [STATS] HC2 - FPS: 45.33 - Local groups: 3 - Local units: 10 - Active Scripts: [spawn: 3, execVM: 6, exec: 0, execFSM: 1]
16:26:22 [KPLIB] [STATS] HC2 - FPS: 46.38 - Local groups: 4 - Local units: 18 - Active Scripts: [spawn: 3, execVM: 6, exec: 0, execFSM: 1]
16:31:22 [KPLIB] [STATS] HC2 - FPS: 44.57 - Local groups: 5 - Local units: 19 - Active Scripts: [spawn: 4, execVM: 6, exec: 0, execFSM: 1]
16:36:22 [KPLIB] [STATS] HC2 - FPS: 44.69 - Local groups: 22 - Local units: 50 - Active Scripts: [spawn: 25, execVM: 6, exec: 0, execFSM: 1]
16:41:22 [KPLIB] [STATS] HC2 - FPS: 46.78 - Local groups: 8 - Local units: 43 - Active Scripts: [spawn: 24, execVM: 6, exec: 0, execFSM: 1]
16:46:23 [KPLIB] [STATS] HC2 - FPS: 34.56 - Local groups: 27 - Local units: 118 - Active Scripts: [spawn: 53, execVM: 6, exec: 0, execFSM: 1]
16:51:23 [KPLIB] [STATS] HC2 - FPS: 42.11 - Local groups: 17 - Local units: 82 - Active Scripts: [spawn: 36, execVM: 6, exec: 0, execFSM: 1]
16:56:23 [KPLIB] [STATS] HC2 - FPS: 41.56 - Local groups: 16 - Local units: 76 - Active Scripts: [spawn: 35, execVM: 6, exec: 0, execFSM: 1]
17:01:23 [KPLIB] [STATS] HC2 - FPS: 40.2 - Local groups: 14 - Local units: 68 - Active Scripts: [spawn: 34, execVM: 6, exec: 0, execFSM: 1]
17:06:23 [KPLIB] [STATS] HC2 - FPS: 41.88 - Local groups: 14 - Local units: 67 - Active Scripts: [spawn: 34, execVM: 6, exec: 0, execFSM: 1]
17:11:23 [KPLIB] [STATS] HC2 - FPS: 45.58 - Local groups: 14 - Local units: 67 - Active Scripts: [spawn: 34, execVM: 6, exec: 0, execFSM: 1]
17:16:23 [KPLIB] [STATS] HC2 - FPS: 40.2 - Local groups: 19 - Local units: 93 - Active Scripts: [spawn: 50, execVM: 6, exec: 0, execFSM: 1]
17:21:24 [KPLIB] [STATS] HC2 - FPS: 37.12 - Local groups: 18 - Local units: 89 - Active Scripts: [spawn: 47, execVM: 6, exec: 0, execFSM: 1]
17:26:24 [KPLIB] [STATS] HC2 - FPS: 42.9 - Local groups: 18 - Local units: 81 - Active Scripts: [spawn: 45, execVM: 6, exec: 0, execFSM: 1]
