16:00:03 Initializing stats manager.
16:00:03 Stats config disabled.
16:01:03 [KPLIB] [STATS] Server - FPS: 1.81 - Local groups: 46 - Local units: 1 - Active Sectors: 0 - Active Scripts: [spawn: 122, execVM: 32, exec: 0, execFSM: 2]
16:01:22 [KPLIB] [STATS] HC1 - FPS: 3.77 - Local groups: 0 - Local units: 0 - Active Scripts: [spawn: 4, execVM: 5, exec: 0, execFSM: 0]
16:01:22 [KPLIB] [STATS] HC2 - FPS: 37.04 - Local groups: 0 - Local units: 0 - Active Scripts: [spawn: 3, execVM: 5, exec: 0, execFSM: 0]
16:01:48 [KPLIB] [STATS] Vespyr Large - FPS: 3.71 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 28, execVM: 23, exec: 0, execFSM: 1]
16:01:48 [KPLIB] [STATS] Dynasty - FPS: 5.39 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 13, execVM: 23, exec: 0, execFSM: 1]
16:01:49 [KPLIB] [STATS] Prophet20147 - FPS: 4.16 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 24, exec: 0, execFSM: 2]
16:01:49 [KPLIB] [STATS] BOOMY - FPS: 4.04 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 24, exec: 0, execFSM: 1]
16:01:51 [KPLIB] [STATS] Merrill - FPS: 4.71 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 24, exec: 0, execFSM: 1]
16:01:52 [KPLIB] [STATS] Beano - FPS: 4.18 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 24, exec: 0, execFSM: 1]
16:01:52 [KPLIB] [STATS] Sixhours08 - FPS: 4.46 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 24, exec: 0, execFSM: 1]
16:01:52 [KPLIB] [STATS] Rookie - FPS: 4.73 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 24, exec: 0, execFSM: 2]
16:01:57 [KPLIB] [STATS] Buck - FPS: 4.04 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 19, execVM: 25, exec: 0, execFSM: 2]
16:01:58 [KPLIB] [STATS] SharkBait - FPS: 2.11 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 24, exec: 0, execFSM: 2]
16:01:58 [KPLIB] [STATS] Hades - FPS: 5.23 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 20, execVM: 24, exec: 0, execFSM: 2]
16:02:01 [KPLIB] [STATS] Karmakut - FPS: 3.52 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 26, exec: 0, execFSM: 2]
16:02:03 [KPLIB] [STATS] F. Castle - FPS: 4.52 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 26, exec: 0, execFSM: 3]
16:02:03 [KPLIB] [STATS] BEJO - FPS: 3.52 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 18, execVM: 26, exec: 0, execFSM: 4]
16:02:04 [KPLIB] [STATS] B. Holiday - FPS: 3.91 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 26, exec: 0, execFSM: 4]
16:02:05 [KPLIB] [STATS] Tater - FPS: 3.21 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 26, exec: 0, execFSM: 3]
16:02:06 [KPLIB] [STATS] Dodger - FPS: 3.73 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 24, execVM: 26, exec: 0, execFSM: 4]
16:02:06 [KPLIB] [STATS] Stripiestwig - FPS: 3.59 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 26, exec: 0, execFSM: 3]
16:02:08 [KPLIB] [STATS] Smitty - FPS: 5.34 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 18, execVM: 26, exec: 0, execFSM: 4]
16:02:12 [KPLIB] [STATS] Weezy - FPS: 3.5 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 25, exec: 0, execFSM: 4]
16:02:12 [KPLIB] [STATS] james - FPS: 3.8 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 17, execVM: 26, exec: 0, execFSM: 3]
16:02:13 [KPLIB] [STATS] Velas - FPS: 2.68 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 26, exec: 0, execFSM: 3]
16:02:19 [KPLIB] [STATS] Prairie - FPS: 2.96 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 26, exec: 0, execFSM: 3]
16:02:19 [KPLIB] [STATS] TibetanChunk - FPS: 1.99 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 26, execVM: 26, exec: 0, execFSM: 4]
16:02:19 [KPLIB] [STATS] Deeznuts - FPS: 3.96 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 26, exec: 0, execFSM: 3]
16:02:19 [KPLIB] [STATS] Nukes - FPS: 2.34 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 28, execVM: 26, exec: 0, execFSM: 3]
16:02:22 [KPLIB] [STATS] Tecnicus - FPS: 4.4 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 26, exec: 0, execFSM: 3]
16:02:23 [KPLIB] [STATS] ThomasMcCloudy - FPS: 3.96 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 15, execVM: 26, exec: 0, execFSM: 3]
16:02:25 [KPLIB] [STATS] Kingo - FPS: 3.47 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 14, execVM: 27, exec: 0, execFSM: 3]
16:02:27 [KPLIB] [STATS] Cpl.Baker - FPS: 3.7 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 27, execVM: 26, exec: 0, execFSM: 3]
16:02:29 [KPLIB] [STATS] topgunajw - FPS: 4.13 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 29, execVM: 26, exec: 0, execFSM: 4]
16:02:32 [KPLIB] [STATS] Soju - FPS: 4.3 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 16, execVM: 25, exec: 0, execFSM: 2]
16:02:34 [KPLIB] [STATS] Tilly - FPS: 2.92 - Local groups: 1 - Local units: 1 - Active Scripts: [spawn: 28, execVM: 25, exec: 0, execFSM: 3]
