16:01:03 [KPLIB] [STATS] Server - FPS: 1.81 - Local groups: 46 - Local units: 1 - Active Sectors: 0 - Active Scripts: [spawn: 122, execVM: 32, exec: 0, execFSM: 2]
16:03:05 [KPLIB] [STATS] Server - FPS: 46.11 - Local groups: 23 - Local units: 4 - Active Sectors: 1 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 10]
16:05:12 [KPLIB] [STATS] Server - FPS: 31.25 - Local groups: 22 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 43, execVM: 29, exec: 0, execFSM: 12]
16:07:13 [KPLIB] [STATS] Server - FPS: 43.36 - Local groups: 21 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 16]
16:09:13 [KPLIB] [STATS] Server - FPS: 47.62 - Local groups: 21 - Local units: 4 - Active Sectors: 1 - Active Scripts: [spawn: 46, execVM: 29, exec: 0, execFSM: 16]
16:11:13 [KPLIB] [STATS] Server - FPS: 47.2 - Local groups: 21 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 45, execVM: 29, exec: 0, execFSM: 16]
16:13:13 [KPLIB] [STATS] Server - FPS: 47.48 - Local groups: 3 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 45, execVM: 29, exec: 0, execFSM: 17]
16:15:13 [KPLIB] [STATS] Server - FPS: 45.98 - Local groups: 3 - Local units: 3 - Active Sectors: 1 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 17]
16:17:13 [KPLIB] [STATS] Server - FPS: 45.2 - Local groups: 3 - Local units: 1 - Active Sectors: 1 - Active Scripts: [spawn: 37, execVM: 29, exec: 0, execFSM: 12]
16:19:13 [KPLIB] [STATS] Server - FPS: 45.58 - Local groups: 3 - Local units: 1 - Active Sectors: 1 - Active Scripts: [spawn: 38, execVM: 29, exec: 0, execFSM: 12]
16:21:13 [KPLIB] [STATS] Server - FPS: 46.24 - Local groups: 4 - Local units: 1 - Active Sectors: 1 - Active Scripts: [spawn: 37, execVM: 29, exec: 0, execFSM: 12]
16:23:13 [KPLIB] [STATS] Server - FPS: 46.78 - Local groups: 1 - Local units: 1 - Active Sectors: 1 - Active Scripts: [spawn: 42, execVM: 29, exec: 0, execFSM: 17]
16:25:13 [KPLIB] [STATS] Server - FPS: 46.24 - Local groups: 2 - Local units: 1 - Active Sectors: 1 - Active Scripts: [spawn: 43, execVM: 29, exec: 0, execFSM: 15]
16:27:14 [KPLIB] [STATS] Server - FPS: 46.51 - Local groups: 4 - Local units: 1 - Active Sectors: 1 - Active Scripts: [spawn: 45, execVM: 29, exec: 0, execFSM: 16]
16:29:14 [KPLIB] [STATS] Server - FPS: 47.76 - Local groups: 5 - Local units: 2 - Active Sectors: 1 - Active Scripts: [spawn: 46, execVM: 29, exec: 0, execFSM: 16]
16:31:14 [KPLIB] [STATS] Server - FPS: 47.06 - Local groups: 4 - Local units: 1 - Active Sectors: 2 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 17]
16:33:14 [KPLIB] [STATS] Server - FPS: 47.2 - Local groups: 1 - Local units: 1 - Active Sectors: 2 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 17]
16:35:14 [KPLIB] [STATS] Server - FPS: 48.05 - Local groups: 1 - Local units: 1 - Active Sectors: 2 - Active Scripts: [spawn: 45, execVM: 29, exec: 0, execFSM: 36]
16:37:14 [KPLIB] [STATS] Server - FPS: 46.92 - Local groups: 1 - Local units: 1 - Active Sectors: 2 - Active Scripts: [spawn: 39, execVM: 29, exec: 0, execFSM: 26]
16:39:14 [KPLIB] [STATS] Server - FPS: 46.92 - Local groups: 1 - Local units: 1 - Active Sectors: 3 - Active Scripts: [spawn: 41, execVM: 29, exec: 0, execFSM: 21]
16:41:15 [KPLIB] [STATS] Server - FPS: 46.11 - Local groups: 0 - Local units: 0 - Active Sectors: 3 - Active Scripts: [spawn: 44, execVM: 29, exec: 0, execFSM: 27]
16:43:15 [KPLIB] [STATS] Server - FPS: 46.11 - Local groups: 0 - Local units: 0 - Active Sectors: 4 - Active Scripts: [spawn: 51, execVM: 29, exec: 0, execFSM: 36]
16:45:15 [KPLIB] [STATS] Server - FPS: 37.38 - Local groups: 1 - Local units: 0 - Active Sectors: 5 - Active Scripts: [spawn: 65, execVM: 29, exec: 0, execFSM: 62]
16:47:15 [KPLIB] [STATS] Server - FPS: 36.95 - Local groups: 1 - Local units: 0 - Active Sectors: 5 - Active Scripts: [spawn: 76, execVM: 29, exec: 0, execFSM: 63]
16:49:15 [KPLIB] [STATS] Server - FPS: 30.13 - Local groups: 3 - Local units: 0 - Active Sectors: 5 - Active Scripts: [spawn: 85, execVM: 29, exec: 0, execFSM: 68]
16:51:16 [KPLIB] [STATS] Server - FPS: 37.74 - Local groups: 5 - Local units: 2 - Active Sectors: 3 - Active Scripts: [spawn: 90, execVM: 29, exec: 0, execFSM: 54]
16:53:16 [KPLIB] [STATS] Server - FPS: 30.08 - Local groups: 3 - Local units: 4 - Active Sectors: 3 - Active Scripts: [spawn: 90, execVM: 29, exec: 0, execFSM: 55]
16:55:16 [KPLIB] [STATS] Server - FPS: 31.43 - Local groups: 2 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 90, execVM: 29, exec: 0, execFSM: 54]
16:57:21 [KPLIB] [STATS] Server - FPS: 24.35 - Local groups: 5 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 103, execVM: 29, exec: 0, execFSM: 87]
16:59:21 [KPLIB] [STATS] Server - FPS: 17.78 - Local groups: 5 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 102, execVM: 29, exec: 0, execFSM: 87]
17:01:29 [KPLIB] [STATS] Server - FPS: 8.15 - Local groups: 7 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 111, execVM: 29, exec: 0, execFSM: 87]
17:03:36 [KPLIB] [STATS] Server - FPS: 7.14 - Local groups: 3 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 126, execVM: 29, exec: 0, execFSM: 86]
17:05:56 [KPLIB] [STATS] Server - FPS: 16.36 - Local groups: 4 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 139, execVM: 29, exec: 0, execFSM: 83]
17:08:00 [KPLIB] [STATS] Server - FPS: 22.07 - Local groups: 5 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 132, execVM: 29, exec: 0, execFSM: 82]
17:10:02 [KPLIB] [STATS] Server - FPS: 10.78 - Local groups: 6 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 138, execVM: 29, exec: 0, execFSM: 90]
17:12:08 [KPLIB] [STATS] Server - FPS: 18.82 - Local groups: 7 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 142, execVM: 29, exec: 0, execFSM: 82]
17:14:11 [KPLIB] [STATS] Server - FPS: 29.8 - Local groups: 5 - Local units: 2 - Active Sectors: 5 - Active Scripts: [spawn: 137, execVM: 29, exec: 0, execFSM: 83]
17:16:11 [KPLIB] [STATS] Server - FPS: 26.32 - Local groups: 5 - Local units: 2 - Active Sectors: 6 - Active Scripts: [spawn: 141, execVM: 29, exec: 0, execFSM: 88]
17:18:12 [KPLIB] [STATS] Server - FPS: 23.53 - Local groups: 5 - Local units: 2 - Active Sectors: 6 - Active Scripts: [spawn: 142, execVM: 29, exec: 0, execFSM: 90]
17:20:14 [KPLIB] [STATS] Server - FPS: 20.36 - Local groups: 6 - Local units: 2 - Active Sectors: 6 - Active Scripts: [spawn: 141, execVM: 30, exec: 0, execFSM: 91]
17:22:15 [KPLIB] [STATS] Server - FPS: 23.05 - Local groups: 2 - Local units: 2 - Active Sectors: 6 - Active Scripts: [spawn: 149, execVM: 29, exec: 0, execFSM: 85]
17:24:16 [KPLIB] [STATS] Server - FPS: 17.02 - Local groups: 4 - Local units: 3 - Active Sectors: 6 - Active Scripts: [spawn: 151, execVM: 29, exec: 0, execFSM: 86]
17:26:17 [KPLIB] [STATS] Server - FPS: 22.63 - Local groups: 4 - Local units: 3 - Active Sectors: 6 - Active Scripts: [spawn: 148, execVM: 29, exec: 0, execFSM: 85]
