16:13:38 Server load: FPS 47, memory used: 2074 MB, out: 22158 Kbps, in: 611 Kbps, NG:0, G:6272, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:13:43 Server load: FPS 47, memory used: 2093 MB, out: 31873 Kbps, in: 711 Kbps, NG:0, G:10, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:13:48 Server load: FPS 48, memory used: 2091 MB, out: 31626 Kbps, in: 701 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:13:53 Server load: FPS 47, memory used: 2077 MB, out: 27699 Kbps, in: 654 Kbps, NG:0, G:13034, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:13:58 Server load: FPS 47, memory used: 2076 MB, out: 21671 Kbps, in: 607 Kbps, NG:0, G:2376, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:03 Server load: FPS 47, memory used: 2074 MB, out: 19708 Kbps, in: 612 Kbps, NG:0, G:12936, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:08 Server load: FPS 47, memory used: 2110 MB, out: 36777 Kbps, in: 799 Kbps, NG:0, G:12838, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:13 Server load: FPS 47, memory used: 2080 MB, out: 32725 Kbps, in: 705 Kbps, NG:0, G:6468, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:18 Server load: FPS 47, memory used: 2076 MB, out: 24271 Kbps, in: 652 Kbps, NG:0, G:6468, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:23 Server load: FPS 47, memory used: 2076 MB, out: 22572 Kbps, in: 631 Kbps, NG:0, G:6477, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:28 Server load: FPS 47, memory used: 2075 MB, out: 23106 Kbps, in: 640 Kbps, NG:0, G:6272, BE-NG:0, BE-G:0, Players: 98 (L:0, R:1, B:0, G:97, D:0)
16:14:33 Server load: FPS 46, memory used: 2075 MB, out: 24145 Kbps, in: 676 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 97 (L:0, R:1, B:0, G:96, D:0)
16:14:38 Server load: FPS 47, memory used: 2074 MB, out: 27094 Kbps, in: 713 Kbps, NG:0, G:6402, BE-NG:0, BE-G:0, Players: 97 (L:0, R:1, B:0, G:96, D:0)
16:14:43 Server load: FPS 47, memory used: 2094 MB, out: 33577 Kbps, in: 802 Kbps, NG:0, G:44978, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:14:49 Server load: FPS 47, memory used: 2080 MB, out: 29556 Kbps, in: 779 Kbps, NG:0, G:6438, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:14:54 Server load: FPS 48, memory used: 2093 MB, out: 35570 Kbps, in: 781 Kbps, NG:0, G:57521, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:14:59 Server load: FPS 48, memory used: 2083 MB, out: 27012 Kbps, in: 695 Kbps, NG:0, G:7954, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:15:04 Server load: FPS 47, memory used: 2075 MB, out: 26154 Kbps, in: 670 Kbps, NG:0, G:49567, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:15:09 Server load: FPS 47, memory used: 2074 MB, out: 24512 Kbps, in: 650 Kbps, NG:0, G:6412, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:15:14 Server load: FPS 46, memory used: 2074 MB, out: 22878 Kbps, in: 741 Kbps, NG:0, G:12706, BE-NG:0, BE-G:0, Players: 98 (L:1, R:1, B:0, G:96, D:0)
16:15:19 Server load: FPS 47, memory used: 2073 MB, out: 22215 Kbps, in: 670 Kbps, NG:0, G:0, BE-NG:0, BE-G:0, Players: 98 (L:0, R:2, B:0, G:96, D:0)
