Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
18:57:44,48,2335,16675,553,0,4485,0,0,72
18:57:49,47,2338,16833,691,0,10,0,0,73
18:57:54,46,2338,14875,561,0,0,0,0,73
18:57:59,48,2340,13480,547,0,5430,0,0,73
18:58:04,48,2341,14013,534,0,0,0,0,73
18:58:09,48,2341,12973,539,0,9108,0,0,73
18:58:14,45,2347,11974,584,0,8911,0,0,72
18:58:19,47,2345,14535,1122,0,9232,0,0,71
18:58:24,48,2344,15811,1260,0,4352,0,0,71
18:58:29,48,2344,15037,824,0,0,0,0,71
18:58:34,47,2343,17199,644,0,4430,0,0,71
18:58:39,48,2341,11999,483,0,4352,0,0,71
18:58:44,48,2342,11290,481,0,4352,0,0,71
18:58:49,48,2343,12897,502,0,0,0,0,71
18:58:54,47,2343,13235,518,0,45,0,0,71
18:58:59,48,2344,13271,505,0,8918,0,0,71
18:59:04,45,2350,13943,659,0,4416,0,0,74
18:59:09,47,2357,17948,730,0,13027,0,0,73
18:59:14,46,2361,17951,892,0,19325,0,0,74
18:59:19,46,2363,27497,858,0,3182,0,0,74
18:59:25,47,2365,23442,864,0,6705,0,0,74
18:59:30,48,2368,27853,813,0,4485,0,0,74
18:59:35,46,2373,31571,705,0,9039,0,0,74
18:59:40,35,2381,45867,1079,0,9039,0,0,74
18:59:45,29,2390,57335,1317,0,39790,0,0,74
18:59:50,48,2359,13345,658,0,4485,0,0,74
18:59:55,47,2358,11913,584,0,4485,0,0,74
19:00:00,48,2359,11747,556,0,0,0,0,74
19:00:05,48,2359,11206,550,0,8970,0,0,74
19:00:10,47,2358,11103,658,0,6572,0,0,74
19:00:15,46,2363,11498,641,0,0,0,0,74
19:00:20,48,2365,15789,605,0,4554,0,0,74
19:00:25,47,2374,24335,611,0,824,0,0,74
19:00:30,48,2377,30166,580,0,0,0,0,74
19:00:35,30,2403,66944,1162,0,55720,0,0,74
19:00:40,26,2401,71717,1325,0,1420,0,0,75
19:00:45,47,2375,27775,579,0,0,0,0,75
19:00:51,47,2378,28003,513,0,0,0,0,75
19:00:56,47,2380,29904,500,0,0,0,0,74
19:01:01,37,2391,42952,961,0,588,0,0,74
19:01:06,34,2396,49400,1214,0,4495,0,0,74
19:01:11,34,2394,50127,1069,0,4485,0,0,74
19:01:16,48,2382,22844,603,0,9,0,0,74
19:01:21,47,2384,29220,718,0,4485,0,0,74
19:01:26,47,2380,23165,575,0,10,0,0,73
19:01:31,48,2376,11346,503,0,4877,0,0,73
19:01:36,48,2378,13183,532,0,10,0,0,73
19:01:41,47,2379,13990,546,0,0,0,0,73
19:01:46,48,2384,20501,522,0,0,0,0,73
19:01:51,37,2409,50944,897,0,0,0,0,73
19:01:56,20,2432,87742,1411,0,34,0,0,74
19:02:01,36,2415,54087,971,0,94244,0,0,74
19:02:06,32,2425,70404,1040,0,4550,0,0,74
19:02:11,40,2402,50113,831,0,4872,0,0,74
19:02:16,48,2399,28626,723,0,4620,0,0,74
19:02:21,48,2393,21519,722,0,0,0,0,74
19:02:26,46,2392,14234,729,0,5180,0,0,75
19:02:31,47,2395,14411,729,0,13720,0,0,75
19:02:36,48,2394,16389,721,0,0,0,0,75
19:02:41,48,2394,16196,649,0,0,0,0,75
19:02:47,46,2403,16351,555,0,0,0,0,75
19:02:52,48,2402,16374,623,0,0,0,0,75
19:02:57,47,2403,18627,670,0,9432,0,0,75
19:03:02,48,2404,22314,622,0,9360,0,0,75
19:03:07,41,2418,39641,820,0,16056,0,0,76
19:03:12,31,2431,61978,1172,0,14998,0,0,76
19:03:17,29,2440,65761,1237,0,14245,0,0,77
19:03:22,30,2450,65987,1218,0,9490,0,0,77
19:03:27,18,2456,81891,1477,0,9344,0,0,78
19:03:32,20,2464,80903,1676,0,71188,0,0,78
19:03:37,46,2435,39287,918,0,10,0,0,78
19:03:42,47,2439,46824,891,0,99,0,0,78
19:03:47,46,2440,54074,778,0,16352,0,0,78
19:03:52,43,2432,47131,708,0,11006,0,0,78
19:03:57,45,2425,24573,663,0,11635,0,0,78
19:04:02,46,2426,22855,602,0,9,0,0,78
19:04:07,43,2449,30757,690,0,14561,0,0,77
19:04:13,33,2468,56290,950,0,24603,0,0,77
19:04:18,23,2476,82695,1471,0,4875,0,0,77
19:04:23,38,2460,52428,834,0,9825,0,0,77
19:04:28,30,2476,75008,1093,0,0,0,0,77
19:04:33,39,2456,60248,875,0,4875,0,0,77
19:04:38,46,2451,45240,593,0,4800,0,0,77
19:04:43,43,2459,45737,706,0,4875,0,0,77
19:04:48,41,2450,34653,712,0,0,0,0,77
19:04:53,42,2451,27134,718,0,0,0,0,77
19:04:58,41,2462,32866,769,0,4950,0,0,77
19:05:03,42,2461,26538,716,0,10,0,0,76
19:05:08,39,2463,36015,838,0,4256,0,0,76
19:05:13,42,2461,33250,789,0,532,0,0,76
19:05:18,46,2459,34495,658,0,2280,0,0,76
19:05:23,43,2462,39934,647,0,6314,0,0,77
19:05:28,47,2452,20245,770,0,9825,0,0,77
19:05:33,48,2452,18101,726,0,4875,0,0,77
19:05:38,48,2450,16380,707,0,4875,0,0,77
19:05:43,47,2449,14644,650,0,4885,0,0,77
19:05:48,45,2465,18083,703,0,4800,0,0,77
19:05:53,44,2480,21163,735,0,9835,0,0,77
19:05:58,44,2491,20285,741,0,4774,0,0,77
19:06:03,46,2497,17363,590,0,17790,0,0,77
19:06:09,46,2501,22023,510,0,5065,0,0,77
19:06:14,47,2507,22309,512,0,14550,0,0,77
19:06:19,47,2512,21544,542,0,31828,0,0,77
19:06:24,44,2518,24386,623,0,38650,0,0,76
19:06:29,36,2534,43830,876,0,11096,0,0,76
19:06:34,30,2548,54327,1021,1924,11025,0,0,75
19:06:39,31,2545,55063,1084,0,12564,0,0,76
19:06:44,40,2548,32678,841,0,17869,0,0,76
19:06:49,29,2551,60494,1161,0,7462,0,0,76
19:06:54,41,2548,35685,860,0,11950,0,0,76
19:06:59,40,2552,38916,886,0,24600,0,0,76
19:07:04,37,2553,40761,919,0,25926,0,0,76
19:07:09,41,2544,42797,786,0,11025,0,0,76
19:07:14,43,2539,38979,799,0,4950,0,0,76
19:07:19,47,2529,27613,693,0,882,0,0,76
19:07:24,46,2529,19014,738,0,16725,0,0,76
19:07:29,46,2527,14721,665,0,10661,0,0,76
19:07:34,47,2525,13195,591,0,0,0,0,76
19:07:39,48,2529,12314,515,0,1200,0,0,76
19:07:44,48,2529,13259,520,0,4870,0,0,76
19:07:49,47,2529,13392,537,0,13900,0,0,76
19:07:54,47,2534,15675,531,0,0,0,0,76
19:07:59,47,2544,26638,542,0,0,0,0,76
19:08:04,41,2551,36312,756,0,912,0,0,76
19:08:09,38,2554,32678,792,0,10394,0,0,76
19:08:15,41,2554,33245,788,0,187,0,0,76
19:08:20,40,2552,30751,779,0,118710,0,0,76
19:08:25,41,2552,31857,790,0,14775,0,0,76
19:08:30,43,2547,25339,629,0,0,0,0,76
19:08:35,48,2550,26704,543,0,0,0,0,76
19:08:40,47,2546,21340,544,0,88,0,0,76
19:08:45,48,2545,12738,563,0,148180,0,0,76
19:08:50,47,2547,13200,554,0,4875,0,0,76
19:08:55,48,2549,12442,546,0,7306,0,0,76
19:09:00,48,2552,11692,529,0,2356,0,0,76
19:09:05,48,2554,13045,566,0,0,0,0,76
19:09:10,46,2556,13853,549,0,2366,0,0,76
19:09:15,47,2556,12895,564,0,0,0,0,76
19:09:20,47,2558,14105,590,0,4950,0,0,76
19:09:25,47,2561,14518,596,0,0,0,0,76
19:09:30,47,2564,15050,562,0,5016,0,0,76
19:09:35,48,2566,16554,571,0,4940,0,0,76
19:09:40,47,2569,18680,574,0,67,0,0,76
19:09:45,48,2575,20916,547,0,0,0,0,76
19:09:50,46,2579,26660,569,0,9935,0,0,76
19:09:55,48,2583,28624,575,0,0,0,0,76
19:10:00,47,2584,29324,597,0,19988,0,0,76
19:10:05,47,2579,15381,590,0,0,0,0,76
19:10:10,46,2581,15638,624,0,9880,0,0,76
19:10:15,47,2582,14270,654,0,0,0,0,77
19:10:20,47,2586,15712,801,0,10,0,0,77
19:10:25,47,2590,15212,966,0,3952,0,0,77
19:10:30,46,2589,13411,893,0,0,0,0,77
19:10:36,47,2589,12444,619,0,4940,0,0,77
19:10:41,47,2592,12359,542,0,4940,0,0,77
19:10:46,47,2593,12396,569,0,0,0,0,77
19:10:51,46,2594,11884,545,0,0,0,0,77
19:10:56,47,2595,14476,588,0,5016,0,0,77
19:11:01,46,2595,12775,674,0,9902,0,0,78
19:11:06,46,2597,12767,632,0,17314,0,0,78
19:11:11,46,2597,12570,618,0,5911,0,0,78
19:11:16,48,2599,13234,641,0,0,0,0,78
19:11:21,47,2599,12430,645,0,0,0,0,78
19:11:26,47,2601,14317,689,0,19718,0,0,78
19:11:31,46,2600,14047,684,0,7368,0,0,78
19:11:36,48,2601,13424,660,0,0,0,0,78
19:11:41,48,2601,13208,650,0,7288,0,0,78
19:11:46,48,2603,12498,627,0,0,0,0,78
19:11:51,46,2606,12259,602,0,5005,0,0,78
19:11:56,47,2609,15934,543,0,0,0,0,78
19:12:01,48,2612,17598,537,0,4948,0,0,78
19:12:06,47,2616,21404,537,0,7476,0,0,78
19:12:11,34,2620,42823,510,0,0,0,0,79
19:12:16,47,2625,26431,610,0,5424,0,0,79
19:12:21,33,2652,56488,1145,0,80299,0,0,79
19:12:27,20,2661,83528,1458,0,40733567,0,0,79
19:12:32,38,2643,35522,968,0,0,0,0,80
19:12:37,42,2653,34034,930,0,67882,0,0,79
19:12:42,36,2663,49596,1107,0,37337,0,0,79
19:12:47,22,2684,80486,1386,0,396607,0,0,79
19:12:52,22,2679,75781,1167,0,360721,0,0,79
19:12:57,30,2690,66198,1011,0,6080,0,0,79
19:13:02,29,2699,63483,1127,0,4928,0,0,79
19:13:07,26,2701,68802,1331,0,52550,0,0,79
19:13:12,26,2698,67092,1233,0,5005,0,0,79
19:13:17,35,2693,47082,1001,0,7784,0,0,79
19:13:22,34,2701,44871,877,0,106714,0,0,79
19:13:27,34,2699,41276,923,0,15092,0,0,79
19:13:32,38,2700,31423,841,0,0,0,0,79
19:13:38,42,2700,28943,674,0,4928,0,0,79
19:13:43,42,2702,30645,625,0,23793,0,0,79
19:13:48,42,2694,22383,802,0,0,0,0,80
19:13:53,44,2697,18865,787,0,9943,0,0,80
19:13:58,43,2700,19174,744,0,0,0,0,80
19:14:03,39,2708,22975,1001,0,4992,0,0,81
19:14:08,31,2728,49012,1507,0,132385,0,0,81
19:14:13,24,2734,62334,1608,0,29196,0,0,81
19:14:18,24,2729,63945,1448,0,16236,0,0,81
19:14:23,39,2719,34558,837,0,0,0,0,81
19:14:28,41,2721,33931,815,0,20,0,0,81
19:14:33,40,2730,30149,760,0,20,0,0,81
19:14:38,39,2732,21570,794,0,5214,0,0,81
19:14:43,31,2742,26994,819,0,33021,0,0,81
19:14:48,34,2746,32244,880,0,25774,0,0,81
19:14:53,37,2747,31086,742,0,145220,0,0,81
19:14:58,39,2751,35291,749,0,15016,0,0,81
