,Server Time,Server FPS,RAM [MB],out [Kbps],in [Kbps],Non-G Messages,Guaranteed Messages,BE-NG,BE-G,Player Count
0,2021-05-09 16:13:38,47,2074,22158,611,0,6272,0,0,98
1,2021-05-09 16:13:43,47,2093,31873,711,0,10,0,0,98
2,2021-05-09 16:13:48,48,2091,31626,701,0,0,0,0,98
3,2021-05-09 16:13:53,47,2077,27699,654,0,13034,0,0,98
4,2021-05-09 16:13:58,47,2076,21671,607,0,2376,0,0,98
5,2021-05-09 16:14:03,47,2074,19708,612,0,12936,0,0,98
6,2021-05-09 16:14:08,47,2110,36777,799,0,12838,0,0,98
7,2021-05-09 16:14:13,47,2080,32725,705,0,6468,0,0,98
8,2021-05-09 16:14:18,47,2076,24271,652,0,6468,0,0,98
9,2021-05-09 16:14:23,47,2076,22572,631,0,6477,0,0,98
10,2021-05-09 16:14:28,47,2075,23106,640,0,6272,0,0,98
11,2021-05-09 16:14:33,46,2075,24145,676,0,0,0,0,97
12,2021-05-09 16:14:38,47,2074,27094,713,0,6402,0,0,97
13,2021-05-09 16:14:43,47,2094,33577,802,0,44978,0,0,98
14,2021-05-09 16:14:49,47,2080,29556,779,0,6438,0,0,98
15,2021-05-09 16:14:54,48,2093,35570,781,0,57521,0,0,98
16,2021-05-09 16:14:59,48,2083,27012,695,0,7954,0,0,98
17,2021-05-09 16:15:04,47,2075,26154,670,0,49567,0,0,98
18,2021-05-09 16:15:09,47,2074,24512,650,0,6412,0,0,98
19,2021-05-09 16:15:14,46,2074,22878,741,0,12706,0,0,98
20,2021-05-09 16:15:19,47,2073,22215,670,0,0,0,0,98
21,2021-05-09 16:15:24,47,2072,23160,705,0,8671,0,0,98
22,2021-05-09 16:15:29,47,2071,20685,696,0,6413,0,0,98
23,2021-05-09 16:15:34,47,2072,22631,686,0,12707,0,0,98
24,2021-05-09 16:15:39,47,2093,26089,714,0,686,0,0,98
25,2021-05-09 16:15:44,47,2088,25144,709,0,6435,0,0,98
26,2021-05-09 16:15:49,47,2089,26885,727,0,63754,0,0,98
27,2021-05-09 16:15:54,47,2113,39126,821,0,6468,0,0,98
28,2021-05-09 16:15:59,47,2090,39103,700,0,30968,0,0,98
29,2021-05-09 16:16:04,45,2152,56534,851,0,23727,0,0,98
30,2021-05-09 16:16:09,47,2081,36019,664,0,0,0,0,98
31,2021-05-09 16:16:14,47,2075,24894,623,0,19306,0,0,98
32,2021-05-09 16:16:19,47,2075,22965,570,0,6421,0,0,98
33,2021-05-09 16:16:24,47,2075,23336,601,0,6536,0,0,98
34,2021-05-09 16:16:29,46,2074,22298,607,0,13230,0,0,98
35,2021-05-09 16:16:34,46,2072,22704,580,0,23115,0,0,98
36,2021-05-09 16:16:39,46,2082,23301,587,0,0,0,0,98
37,2021-05-09 16:16:44,46,2082,20524,541,0,0,0,0,98
38,2021-05-09 16:16:50,47,2082,25423,619,0,15345,0,0,98
39,2021-05-09 16:16:55,46,2078,25703,623,0,0,0,0,98
40,2021-05-09 16:17:00,46,2075,21305,542,0,6598,0,0,98
41,2021-05-09 16:17:05,46,2076,22636,532,0,58,0,0,98
42,2021-05-09 16:17:10,46,2074,20530,519,0,9172,0,0,98
43,2021-05-09 16:17:15,46,2073,19805,480,0,0,0,0,98
44,2021-05-09 16:17:20,46,2071,23074,487,0,9603,0,0,98
45,2021-05-09 16:17:25,46,2067,25095,512,0,7100,0,0,98
46,2021-05-09 16:17:30,46,2065,22513,535,0,12969,0,0,98
47,2021-05-09 16:17:35,46,2064,17090,461,0,6336,0,0,98
48,2021-05-09 16:17:40,46,2064,17936,472,0,6534,0,0,98
